NHSTID,DIVA_NR,Y_KOORD,X_KOORD,CHSTNAME,CNAME,VTYP,HSTTYP,HAFAS_PRIO,LINKTEXT,ZONEN,SYMB_CODE,SYMB_TEXT,LINIEN,E,N,fahrgastza,fahrgast_1,fahrgast_2,fahrgast_3,fahrgast_4,fahrgast_5,fahrgast_6,fahrgast_7,fahrgast_8,fahrgast_9,lng,lat
"8591111","649",,,"Zürich, Dangelstrasse",Zürich,Bus,"&nbsp;","0",,"110","2",Bus,"184,185,N12","2682483","1243204","254","265",132.400986301370011,278.062438356164023,151.780000000000001,312.149999999999977,"649",DANG,410.463424657534006,463.930000000000007,8.529962040856557,47.334539624498689
"8591088","3449",,,"Zürich, Birchstrasse",Zürich,Bus,"&nbsp;","0",,"110","2",Bus,"80","2682806","1251938","89","94",321.114438356163987,431.610958904110021,405.572788844621982,580.335219123506022,"3449",BIRC,752.725397260274008,985.908007968128004,8.535850811311704,47.413047316043667
"8590679","1440",,,"Kilchberg ZH, Spital",Kilchberg ZH,Bus,"&nbsp;","0",,"150","2",Bus,"162,185","2682912","1241783","662","681",110.769397260274005,134.590000000000003,135.849999999999994,167.349999999999994,"1440",KSPI,245.359397260273994,303.199999999999989,8.535374666469970,47.321706059023171
"8591144","896",,,"Zürich, Friedhof Schwandenholz",Zürich,Bus,"&nbsp;","0",,"110","2",Bus,"40","2682932","1252863","296","307",77.821232876712301,75.717287671232896,92.650000000000006,90.430000000000007,"896",FSWA,153.538520547945012,183.080000000000013,8.537691820698468,47.421350218624944
"8591335","2158",,,"Zürich, Schaffhauserplatz",Zürich,"Bus,Tram,Trolleybus","&nbsp;","2",,"110","3",Bus Tram,"7,11,14,15,33,N6","2683055","1249565","103","109",8375.595839999999953,8330.825774794520839,9791.721759362550074,9742.440987251000479,"2158",SPLA,16706.421614794500783,19534.162746613601485,8.538708994917188,47.391674869137383
"8591314","2045",,,"Zürich, Regensbergbrücke",Zürich,"Bus,Tram","&nbsp;","2",,"110","3",Bus Tram,"11,61,62","2683071","1251472","56","61",1583.410356164379891,1746.179068493149998,1915.158406374499918,2100.404940239040116,"2045",REGB,3329.589424657529889,4015.563346613540034,8.539275148827912,47.408823073915819
"8591357","2834",,,"Zürich, Seerose",Zürich,Bus,"&nbsp;","0",,"110","2",Bus,"161,165,N15","2683094","1243699","278","289",237.390328767123009,200.139698630136991,264.829999999999984,224.270000000000010,"2834",SEER,437.530027397260028,489.100000000000023,8.538136914714876,47.338914685730344
"8594253","6781",,,"Kilchberg ZH, Emilienheim",Kilchberg ZH,Bus,"&nbsp;","0",,"150","2",Bus,"163","2683110","1242620","712","734",5.834356164383560,0.999780821917808,7.900000000000000,1.400000000000000,"6781",KEMI,6.834136986301370,9.300000000000001,8.538148563567288,47.329208702923061
"8594252","6782",,,"Kilchberg ZH, Breitloo",Kilchberg ZH,Bus,"&nbsp;","0",,"150","2",Bus,"163","2683212","1242286","713","735",9.019479452054791,0.533397260273973,11.730000000000000,0.670000000000000,"6782",KBRE,9.552876712328761,12.400000000000000,8.539435836726858,47.326192013144365
"8591207","1303",,,"Zürich, Im Ebnet",Zürich,Bus,"&nbsp;","0",,"110","2",Bus,"742,N6","2683372","1253998","743","765",0.142465753424658,0.675287671232877,0.000000000000000,0.000000000000000,"1303",IEBN,0.817753424657535,0.000000000000000,8.543734029723581,47.431501948115766
"8590675","1018",,,"Kilchberg ZH, Gottlieb-Binder",Kilchberg ZH,Bus,"&nbsp;","0",,"150","2",Bus,"162,163","2683474","1241932","704","726",12.199649561643801,65.575068493150695,16.124590000000001,87.900000000000006,"1018",GOBI,77.774718054794505,104.024590000000003,8.542835479614972,47.322975206147703
"8590686","2239",,,"Kilchberg ZH, Schlimbergstr.",Kilchberg ZH,Bus,"&nbsp;","0",,"150","2",Bus,"163","2683484","1242132","714","736",2.493047808219180,0.419507342465753,3.324950000000000,0.585180000000000,"2239",SLIM,2.912555150684930,3.910130000000000,8.543004975039620,47.324772640536587
"8594255","6776",,,"Zürich, Schanzackerstrasse",Zürich,Bus,"&nbsp;","0",,"110","2",Bus,"39","2683713","1249613","648","667",1.584986301369860,4.994438356164380,1.520000000000000,5.470000000000000,"6776",SANZ,6.579424657534240,6.990000000000000,8.547432195555396,47.392023255572120
"8591048","128",,,"Zürich, Ausserdorfstrasse",Zürich,Bus,"&nbsp;","0",,"110","2",Bus,"75,742,N6","2683747","1253226","315","327",350.044904109589027,427.488767123288028,398.350557768923977,479.974262948207013,"128",AUSS,777.533671232877055,878.324820717131047,8.548559324271896,47.424511589498771
"8576195","1845",,,"Zürich, Opernhaus",Zürich,"Bus,Tram","&nbsp;","2",,"110","3",Bus Tram,"2,4,912,916,N18","2683761","1246666","18","21",7622.771369863009568,8190.708767123290272,8941.507131474099879,9653.201115537849546,"1845",OPER,15813.480136986299840,18594.708247011898493,8.547516327471181,47.365513765308613
"8503578","2570",,,"Birmensdorf ZH, Sternen/WSL",Birmensdorf ZH,Bus,"&nbsp;","0",,"154","2",Bus,"220,350,N14","2676874","1245969","717","739",0.022794520547945,1.473095890410960,0.000000000000000,0.000000000000000,"2570",BIRMSTE,1.495890410958910,0.000000000000000,8.456232085578760,47.360084572191859
"8591284","1698",,,"Zürich, Neeserweg",Zürich,Bus,"&nbsp;","0",,"110","2",Bus,"35","2678225","1249379","618","637",111.997835616437996,107.575397260274002,132.050000000000011,124.680000000000007,"1698",NEES,219.573232876712012,256.730000000000018,8.474709584251244,47.390593361088960
"8591361","2366",,,"Zürich, Seidelhof",Zürich,"Bus,Trolleybus","&nbsp;","0",,"110","2",Bus,"31,N2","2678903","1249536","355","367",332.992159452054977,398.124982739726022,386.540431075696972,468.121986852589998,"2366",SEID,731.117142191780999,854.662417928287027,8.483716281666625,47.391924469460015
"8591036","47",,,"Zürich, Albisrieden",Zürich,"Bus,Tram","&nbsp;","2",,"110","3",Bus Tram,"3,80,N13","2679010","1247587","70","75",1352.939068493149989,1445.545150684929922,1508.594183266930031,1603.848366533859917,"47",ALBR,2798.484219178079911,3112.442549800789948,8.484789233603991,47.374383444160429
"8591167","1041",,,"Zürich, Grünaustrasse",Zürich,"Bus,Tram","&nbsp;","2",,"110","3",Bus Tram,"17,78,N13","2679313","1249909","226","236",1002.068109589039977,1000.391972602739997,1160.342709163350037,1150.032470119519985,"1041",GRUN,2002.460082191779975,2310.375179282869794,8.489212331891322,47.395229770536083
