field_1,Haltestellen_Id,ein_dtv,aus_dtv,ein_dwv,aus_dwv,HALTESTELLEN_Haltestellennummer,HALTESTELLEN_Haltestellenkurzname,HALTESTELLEN_Haltestellenlangname,sum_dtv,sum_dwv
"114","120",5543.17884794521,5674.29783945206,6596.53019721116,6793.86438804781,"1453",KREU,"Zürich, Kreuzplatz",11217.4766873973,13390.394585259
"115","121",1252.88678027397,1252.31945123288,1495.9951187251,1530.08868406374,"2388",SIGN,"Zürich, Signaustrasse",2505.20623150685,3026.08380278884
"116","122",884.979561643836,1170.41857534247,1069.49147410359,1382.50533864542,"1138",HEDW,"Zürich, Hedwigsteig",2055.39813698631,2451.99681274901
"117","123",516.457890410959,291.129643835616,574.540278884462,310.55625498008,"2879",WETL,"Zürich, Wetlistrasse",807.587534246575,885.096533864542
"118","124",1070.09271232877,850.602219178082,1192.99266932271,948.536135458167,"580",BURG,"Zürich, Burgwies",1920.69493150685,2141.52880478088
"119","125",4267.07076712329,4290.71221917808,5350.03581673307,5347.99960159363,"421",BALG,"Zürich, Balgrist",8557.78298630137,10698.0354183267
"120","126",239.757342465753,503.346931506849,283.034462151394,591.2696812749,"894",ENZE,"Zürich, Friedhof Enzenbühl",743.104273972602,874.304143426294
"121","127",1149.90238356164,1258.19421917808,1337.51247011952,1450.40402390438,"2549",REHA,"Zürich, Rehalp",2408.09660273972,2787.9164940239
"122","129",15190.9379178082,14766.1782465753,17958.8013545817,17374.7896414343,"1643",MIBU,"Zürich, Milchbuck",29957.1161643835,35333.590996016
"123","130",1852.456,2268.39046575342,2421.40294820717,2981.57306772908,"1334",IRCH,"Zürich, Universität Irchel",4120.84646575342,5402.97601593625
"124","131",862.428739726027,991.558520547945,963.94641434263,1091.15099601594,"1507",LANM,"Zürich, Langmauerstrasse",1853.98726027397,2055.09741035857
"125","132",1120.85142465753,1213.61235616438,1273.98370517928,1363.17302788845,"1550",LETZ,"Zürich, Letzistrasse",2334.46378082191,2637.15673306773
"126","133",642.249260273973,729.856767123288,727.041513944223,811.378406374502,"1399",KINK,"Zürich, Kinkelstrasse",1372.10602739726,1538.41992031872
"127","134",5103.69522684932,5737.28373726027,5994.13222231076,6663.66411992032,"2367",RIGI,"Zürich, Seilbahn Rigiblick",10840.9789641096,12657.7963422311
"128","135",1311.13747945205,1850.86567123288,1536.67800796813,2127.70768924303,"2924",WINK,"Zürich, Winkelriedstrasse",3162.00315068493,3664.38569721116
"129","136",2058.27789041096,2794.16473972603,2538.96888446215,3461.99175298805,"1098",HALB,"Zürich, Haldenbach",4852.44263013699,6000.9606374502
"130","137",8427.10947945205,9630.4341369863,10744.7497211155,12214.9413545817,"736",ETHZ,"Zürich, ETH/Universitätsspital",18057.5436164383,22959.6910756972
"131","138",2118.89054794521,2900.88819178082,2819.28155378486,3927.85756972112,"1359",KANT,"Zürich, Kantonsschule",5019.77873972603,6747.13912350598
"132","139",6286.81501041096,6074.94799726027,7761.99270438247,7410.53051394422,"1472",KUNS,"Zürich, Kunsthaus",12361.7630076712,15172.5232183267
"133","140",3295.08120547945,3650.33649315068,3932.93792828685,4324.29466135458,"2396",SIHS,"Zürich, Sihlstrasse",6945.41769863013,8257.23258964143
"134","141",19678.1710684931,20369.7231232877,22599.0157768924,23404.7890836653,"2556",STAU,"Zürich, Stauffacher",40047.8941917808,46003.8048605577
"135","142",1329.63794520548,1441.27145205479,1602.82075697211,1712.9774501992,"6238",WERE,"Zürich, Werd",2770.90939726027,3315.79820717131
"136","143",2119.52635616438,2213.39882191781,2407.29609561753,2521.84569721116,"2638",TALW,"Zürich, Talwiesenstrasse",4332.92517808219,4929.14179282869
"137","144",1168.30945205479,1223.57219178082,1243.25541832669,1281.44482071713,"1187",HEUR,"Zürich, Heuried",2391.88164383561,2524.70023904382
"138","145",1231.05260273973,1294.51457534247,1453.49402390438,1507.48828685259,"2666",TIER,"Zürich, Tierspital",2525.5671780822,2960.98231075697
"139","146",1495.55252054795,1511.21830136986,1674.94394422311,1680.02501992032,"2814",WALD,"Zürich, Waldgarten",3006.77082191781,3354.96896414343
"140","147",1344.20156164384,1203.65531506849,1541.20800796813,1359.34051792829,"2326",SCHO,"Zürich, Schörlistrasse",2547.85687671233,2900.54852589642
"141","148",606.736575342466,504.469095890411,694.895418326693,567.817609561753,"1139",HEER,"Zürich, Heerenwiesen",1111.20567123288,1262.71302788845
"142","149",1211.09276712329,1106.44931506849,1395.08015936255,1258.64812749004,"1590",LUEG,"Zürich, Luegisland",2317.54208219178,2653.72828685259
"143","150",1602.64473972603,1526.36315068493,1808.54593625498,1726.97956175299,"1587",LUCH,"Zürich, Luchswiesen",3129.00789041096,3535.52549800797
"144","151",1232.45879452055,1215.54312328767,1399.13537848606,1386.24270916335,"88",ALTR,"Zürich, Altried",2448.00191780822,2785.37808764941
"145","152",902.000356164384,861.211424657534,1012.37111553785,971.063625498008,"1220",HIRZ,"Zürich, Hirzenbach",1763.21178082192,1983.43474103586
"146","153",12929.2181139726,12959.5863975342,14779.1082932271,14853.4263151394,"48",ALBP,"Zürich, Albisriederplatz",25888.8045115068,29632.5346083665
"147","154",272.893068493151,272.438931506849,299.806573705179,299.728167330677,"897",FSIH,"Zürich, Friedhof Sihlfeld",545.332,599.534741035856
"148","155",818.012630136986,846.452794520548,910.450557768924,915.724342629482,"468",BERT,"Zürich, Bertastrasse",1664.46542465753,1826.17490039841
"149","156",2333.52375342466,2444.65482191781,2609.51103585657,2734.99111553785,"3018",ZWIN,"Zürich, Zwinglihaus",4778.17857534247,5344.50215139442
"150","157",1596.5415890411,1675.29021917808,1926.06956175299,2023.56195219124,"1614",MANS,"Zürich, Manesseplatz",3271.83180821918,3949.63151394423
"151","158",6594.3157260274,6510.18506849315,7531.0777689243,7449.63478087649,"2771",SIHN,"Zürich, Sihlcity Nord",13104.5007945206,14980.7125498008
"152","159",3422.24484931507,2952.04682191781,4060.10498007968,3492.48266932271,"2795",WAFF,"Zürich, Waffenplatzstrasse",6374.29167123288,7552.58764940239
"153","160",555.547287671233,544.339534246575,643.932749003984,632.541235059761,"1288",HUEG,"Zürich, Hügelstrasse",1099.88682191781,1276.47398406374
"154","161",577.989726027397,572.362520547945,658.760597609562,646.835139442231,"546",BRUM,"Zürich, Brunau/Mutschellenstr.",1150.35224657534,1305.59573705179
"155","162",633.973095890411,563.021561643836,724.314342629482,632.495258964143,"2659",THUJ,"Zürich, Thujastrasse",1196.99465753425,1356.80960159362
"156","163",480.38695890411,464.602356164384,561.901992031873,548.151075697211,"1354",JUGI,"Zürich, Jugendherberge",944.989315068494,1110.05306772908
"157","164",30.9221095890411,193.821178082192,35.8166932270916,222.320996015936,"470",BESE,"Zürich, Besenrainstrasse",224.743287671233,258.137689243028
"158","165",5115.56073972603,4931.54838356164,5716.27143426295,5499.82509960159,"1660",MORG,"Zürich, Morgental",10047.1091232877,11216.0965338645
"159","166",232.953452054795,827.962164383562,280.347450199203,999.094541832669,"6019",WAFB,"Zürich, Waffenplatz-/Bederstr.",1060.91561643836,1279.44199203187
"160","167",1109.48959205479,1168.07985643836,1262.09048247012,1328.71819760956,"1446",AKRE,"Zürich, Altes Krematorium",2277.56944849315,2590.80868007968
"161","168",5603.3734339726,5195.73220849315,6373.81834023904,5892.98723545817,"1122",HARP,"Zürich, Hardplatz",10799.1056424658,12266.8055756972
"162","169",9074.16444164384,8504.17711479452,10766.4913593625,10121.0507047809,"3029",HSBB,"Zürich, Bahnhof Hardbrücke",17578.3415564384,20887.5420641434
"163","170",5367.06266739726,5302.09613945205,6410.29172749004,6346.58956533865,"6759",SBAU,"Zürich, Schiffbau",10669.1588068493,12756.8812928287
"164","171",9059.16073369863,8984.60031616438,10706.2689952191,10614.1918940239,"799",EWYS,"Zürich, Escher-Wyss-Platz",18043.761049863,21320.460889243
"165","172",2977.13474054795,2865.46826273973,3425.0259374502,3262.23293187251,"2104",ROSE,"Zürich, Rosengartenstrasse",5842.60300328768,6687.25886932271
"166","174",367.236301369863,209.362356164384,429.17358565737,239.754501992032,"6825",USEN,"Unterengstringen, Sennenbüel",576.598657534247,668.928087649402
"167","175",197.709616438356,179.56501369863,228.85,198.19,"1498",LANA,"Unterengstringen, Langacher",377.274630136986,427.04
"168","176",517.314602739726,493.160109589041,594.23,566.5,"1862",PAEN,"Oberengstringen, Paradies",1010.47471232877,1160.73
